yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400, TOL_500, TOL_630, TOL_800, TOL_1000, TOL_1250, TOL_1600, TOL_2000, TOL_2500, TOL_3150, TOL_4000, TOL_5000, TOL_6300, TOL_8000, TOL_10000, TOL_12500, TOL_16000, TOL_20000 
2023-03-11T22:18:00.000Z, 96.042044, 97.444868, 100.059972, 98.504976, 99.138559, 98.532442, 95.975175, 95.354515, 95.803738, 95.835451, 96.547805, 96.884862, 95.705659, 95.335796, 94.540826, 94.640054, 93.004594, 91.724222, 91.383331, 90.120265, 89.987356, 89.807187, 87.540756
2023-03-11T22:20:00.000Z, 90.190668, 92.116460, 95.793046, 91.318642, 91.532742, 89.939851, 87.629514, 83.698551, 83.211432, 83.057640, 82.989592, 83.334998, 83.528143, 85.344414, 84.925492, 84.530879, 83.167412, 81.522189, 81.822335, 81.512648, 80.059207, 78.912443, 74.336491
2023-03-11T22:22:00.000Z, 86.575421, 88.502160, 91.084080, 86.355638, 87.018355, 85.331776, 83.173581, 80.118829, 79.982670, 79.656054, 79.416084, 79.045052, 78.158048, 78.509424, 77.767914, 77.043760, 75.958304, 75.047646, 74.030322, 72.759595, 71.654022, 71.590306, 68.915714
2023-03-11T22:24:00.000Z, 86.249384, 84.593156, 86.527489, 84.228334, 83.354550, 83.006270, 79.800377, 78.748168, 78.482275, 78.059305, 78.258610, 77.886270, 77.224923, 77.157707, 76.233134, 75.652280, 74.949980, 74.155302, 73.472611, 72.532479, 71.540956, 71.545453, 68.999124
2023-03-11T22:26:00.000Z, 87.049577, 84.399987, 84.572193, 82.354036, 82.804348, 81.491267, 78.690651, 77.976856, 78.171383, 77.810299, 77.552491, 77.310105, 76.754949, 76.452697, 75.744107, 75.174488, 74.534936, 73.654214, 72.926254, 72.040260, 71.072219, 71.133836, 68.745488
2023-03-11T22:28:00.000Z, 85.269026, 82.276218, 82.736424, 79.973572, 80.652687, 81.097304, 78.632387, 77.378462, 77.529332, 77.109741, 76.824549, 76.674199, 76.304711, 75.819876, 75.026335, 74.557179, 73.797932, 72.946805, 72.391862, 71.455482, 70.434933, 70.538326, 68.198659
2023-03-11T22:30:00.000Z, 84.656754, 83.490070, 83.047183, 80.692376, 82.275561, 80.941750, 78.220903, 77.022816, 77.029822, 76.497600, 76.095465, 76.011550, 75.675750, 75.248857, 74.444001, 73.785628, 73.205894, 72.372499, 71.727608, 70.890553, 69.900388, 70.040325, 67.683652
2023-03-11T22:32:00.000Z, 86.624052, 82.956950, 82.061212, 80.435332, 81.160872, 78.583990, 76.953275, 76.593018, 76.685731, 76.210613, 75.964365, 75.619704, 75.462733, 74.902311, 74.210018, 73.500821, 72.940877, 72.105602, 71.415367, 70.491675, 69.653379, 69.720290, 67.481848
2023-03-11T22:34:00.000Z, 84.045895, 81.830829, 81.498866, 79.732186, 79.199468, 77.634538, 76.446236, 76.349388, 76.131945, 75.819409, 75.447983, 75.287677, 75.007789, 74.527988, 73.658821, 73.027380, 72.421871, 71.592110, 70.948968, 70.099963, 69.030470, 69.197217, 66.912447
2023-03-11T22:36:00.000Z, 85.503989, 81.820867, 81.999484, 80.283429, 80.234403, 78.553854, 76.494130, 75.950946, 75.728699, 75.342884, 74.794949, 74.655771, 74.207802, 73.814304, 73.080627, 72.409823, 71.849707, 70.871458, 70.197995, 69.443444, 68.448908, 68.573603, 66.278434
2023-03-11T22:38:00.000Z, 85.549171, 82.617207, 80.376799, 80.093282, 80.891993, 78.981375, 77.119549, 76.643836, 75.829663, 75.170255, 74.651025, 74.321919, 73.969290, 73.389535, 72.590899, 71.899533, 71.205290, 70.316909, 69.656075, 68.797538, 67.844363, 67.905768, 65.665857
